Timestamp,Flambeau (MW)
2017-04-19T05:00:00Z,12.1148138
2017-04-23T05:00:00Z,17.6004848
2017-04-27T05:00:00Z,15.0743294
2017-05-01T05:00:00Z,18.6526489
2017-05-05T05:00:00Z,21.7058
2017-05-09T05:00:00Z,13.4549112
2017-05-13T05:00:00Z,10.314868
2017-05-17T05:00:00Z,17.6566563
2017-05-21T05:00:00Z,20.5678463
2017-05-25T05:00:00Z,21.7749
2017-05-29T05:00:00Z,19.1884212
2017-06-02T05:00:00Z,16.8676586
2017-06-06T05:00:00Z,13.5710917
2017-06-10T05:00:00Z,9.665796
2017-06-14T05:00:00Z,20.5650978
2017-06-18T05:00:00Z,13.60017
2017-06-22T05:00:00Z,13.6249132
2017-06-26T05:00:00Z,13.6181526
2017-06-30T05:00:00Z,13.624526
2017-07-04T05:00:00Z,10.67289
2017-07-08T05:00:00Z,11.2787256
2017-07-12T05:00:00Z,10.8306494
2017-07-16T05:00:00Z,7.61572361
2017-07-20T05:00:00Z,7.5125246
2017-07-24T05:00:00Z,5.80812454
2017-07-28T05:00:00Z,6.02464056
2017-08-01T05:00:00Z,4.825049
2017-08-05T05:00:00Z,7.998962
2017-08-09T05:00:00Z,5.63065958
2017-08-13T05:00:00Z,7.225565
2017-08-17T05:00:00Z,5.420007
2017-08-21T05:00:00Z,7.578405
2017-08-25T05:00:00Z,6.061754
2017-08-29T05:00:00Z,7.132526
2017-09-02T05:00:00Z,6.51481533
2017-09-06T05:00:00Z,7.062059
2017-09-10T05:00:00Z,8.005108
2017-09-14T05:00:00Z,6.894779
2017-09-18T05:00:00Z,5.417269
2017-09-22T05:00:00Z,6.384138
2017-09-26T05:00:00Z,11.5165939
2017-09-30T05:00:00Z,8.863924
2017-10-04T05:00:00Z,6.05428934
2017-10-08T05:00:00Z,13.1007814
2017-10-12T05:00:00Z,12.7830677
2017-10-16T05:00:00Z,7.95082855
2017-10-20T05:00:00Z,8.265448
2017-10-24T05:00:00Z,10.0700808
2017-10-28T05:00:00Z,9.830927
2017-11-01T05:00:00Z,10.6220045
2017-11-05T05:00:00Z,9.22837448
2017-11-09T06:00:00Z,8.572553
2017-11-13T06:00:00Z,10.0112448
2017-11-17T06:00:00Z,9.701845
2017-11-21T06:00:00Z,7.9467926
2017-11-25T06:00:00Z,9.084637
2017-11-29T06:00:00Z,8.792927
2017-12-03T06:00:00Z,7.01702642
2017-12-07T06:00:00Z,7.38499546
2017-12-11T06:00:00Z,6.50006437
2017-12-15T06:00:00Z,6.46956825
2017-12-19T06:00:00Z,7.83662748
2017-12-23T06:00:00Z,7.01575136
2017-12-27T06:00:00Z,5.22124672
2017-12-31T06:00:00Z,5.683456
2018-01-04T06:00:00Z,5.48672771
2018-01-08T06:00:00Z,5.32452536
2018-01-12T06:00:00Z,6.86859226
2018-01-16T06:00:00Z,6.32953024
2018-01-20T06:00:00Z,6.98002768
2018-01-24T06:00:00Z,6.185938
2018-01-28T06:00:00Z,6.90424633
2018-02-01T06:00:00Z,6.79898357
2018-02-05T06:00:00Z,5.10259247
2018-02-09T06:00:00Z,5.449405
2018-02-13T06:00:00Z,5.034078
2018-02-17T06:00:00Z,4.93093157
2018-02-21T06:00:00Z,4.85626
2018-02-25T06:00:00Z,5.19234562
2018-03-01T06:00:00Z,4.987707
2018-03-05T06:00:00Z,5.01516438
2018-03-09T06:00:00Z,5.098394
2018-03-13T05:00:00Z,5.34540272
2018-03-17T05:00:00Z,5.01598263
2018-03-21T05:00:00Z,5.295914
2018-03-25T05:00:00Z,3.30879021
2018-03-29T05:00:00Z,4.18869925
2018-04-02T05:00:00Z,6.1815753
2018-04-06T05:00:00Z,5.115703
2018-04-10T05:00:00Z,5.051726
2018-04-14T05:00:00Z,6.828097
2018-04-18T05:00:00Z,6.147262
2018-04-22T05:00:00Z,13.035059
2018-04-26T05:00:00Z,20.95704
2018-04-30T05:00:00Z,21.2590752
2018-05-04T05:00:00Z,21.582798
2018-05-08T05:00:00Z,12.5650473
2018-05-12T05:00:00Z,14.0476494
2018-05-16T05:00:00Z,11.1449232
2018-05-20T05:00:00Z,6.548272
2018-05-24T05:00:00Z,3.62609
2018-05-28T05:00:00Z,6.51008
2018-06-01T05:00:00Z,8.053624
2018-06-05T05:00:00Z,9.575979
2018-06-09T05:00:00Z,6.88951731
2018-06-13T05:00:00Z,5.974692
2018-06-17T05:00:00Z,20.288578
2018-06-21T05:00:00Z,20.6871071
2018-06-25T05:00:00Z,20.1118774
2018-06-29T05:00:00Z,11.28973
2018-07-03T05:00:00Z,13.4917631
2018-07-07T05:00:00Z,10.0659742
2018-07-11T05:00:00Z,7.2011714
2018-07-15T05:00:00Z,7.12055731
2018-07-19T05:00:00Z,6.39000034
2018-07-23T05:00:00Z,6.720589
2018-07-27T05:00:00Z,6.479856
2018-07-31T05:00:00Z,5.56204748
2018-08-04T05:00:00Z,5.482058
2018-08-08T05:00:00Z,8.295032
2018-08-12T05:00:00Z,6.227447
2018-08-16T05:00:00Z,4.58700943
2018-08-20T05:00:00Z,5.078427
2018-08-24T05:00:00Z,4.42796135
2018-08-28T05:00:00Z,7.987795
2018-09-01T05:00:00Z,8.026787
2018-09-05T05:00:00Z,13.4577169
2018-09-09T05:00:00Z,8.529748
2018-09-13T05:00:00Z,6.502596
2018-09-17T05:00:00Z,5.485003
2018-09-21T05:00:00Z,7.98890972
2018-09-25T05:00:00Z,14.2604713
2018-09-29T05:00:00Z,8.555272
2018-10-03T05:00:00Z,8.522818
2018-10-07T05:00:00Z,17.7180023
2018-10-11T05:00:00Z,21.2211628
2018-10-15T05:00:00Z,18.8334026
2018-10-19T05:00:00Z,20.0754871
2018-10-23T05:00:00Z,17.32343
2018-10-27T05:00:00Z,15.1260767
2018-10-31T05:00:00Z,12.1319742
2018-11-04T05:00:00Z,11.0198383
2018-11-08T06:00:00Z,18.697464
2018-11-12T06:00:00Z,13.5780239
2018-11-16T06:00:00Z,12.2387934
2018-11-20T06:00:00Z,9.014115
2018-11-24T06:00:00Z,10.548419
2018-11-28T06:00:00Z,8.100606
2018-12-02T06:00:00Z,9.042152
2018-12-06T06:00:00Z,8.430334
2018-12-10T06:00:00Z,7.79790926
2018-12-14T06:00:00Z,8.047707
2018-12-18T06:00:00Z,7.04221249
2018-12-22T06:00:00Z,7.56873274
2018-12-26T06:00:00Z,6.98882246
2018-12-30T06:00:00Z,8.1819315
2019-01-03T06:00:00Z,6.589148
2019-01-07T06:00:00Z,7.022858
2019-01-11T06:00:00Z,7.06860876
2019-01-15T06:00:00Z,6.683925
2019-01-19T06:00:00Z,5.079698
2019-01-23T06:00:00Z,5.597597
2019-01-27T06:00:00Z,5.250189
2019-01-31T06:00:00Z,5.043459
2019-02-04T06:00:00Z,5.18600464
2019-02-08T06:00:00Z,5.34781027
2019-02-12T06:00:00Z,4.07899046
2019-02-16T06:00:00Z,4.87650728
2019-02-20T06:00:00Z,4.78763676
2019-02-24T06:00:00Z,5.19156027
2019-02-28T06:00:00Z,4.993253
2019-03-04T06:00:00Z,5.772219
2019-03-08T06:00:00Z,5.50006151
2019-03-12T05:00:00Z,6.98824167
2019-03-16T05:00:00Z,7.94233
2019-03-20T05:00:00Z,11.1312008
2019-03-24T05:00:00Z,10.0367928
2019-03-28T05:00:00Z,12.916708
2019-04-01T05:00:00Z,19.6526527
2019-04-05T05:00:00Z,13.7098789
2019-04-09T05:00:00Z,20.9308
2019-04-13T05:00:00Z,19.1049786
2019-04-17T05:00:00Z,21.0576649
2019-04-21T05:00:00Z,20.6679
2019-04-25T05:00:00Z,20.7897663
2019-04-29T05:00:00Z,19.1150932
2019-05-03T05:00:00Z,21.2644157
2019-05-07T05:00:00Z,19.96515
2019-05-11T05:00:00Z,21.09324
2019-05-15T05:00:00Z,19.1878777
2019-05-19T05:00:00Z,20.913578
2019-05-23T05:00:00Z,20.7138424
2019-05-27T05:00:00Z,21.2799244
2019-05-31T05:00:00Z,20.8601646
2019-06-04T05:00:00Z,16.1552086
2019-06-08T05:00:00Z,12.9848528
2019-06-12T05:00:00Z,11.0676308
2019-06-16T05:00:00Z,10.0913057
2019-06-20T05:00:00Z,9.337329
2019-06-24T05:00:00Z,9.548737
2019-06-28T05:00:00Z,10.0391779
2019-07-02T05:00:00Z,12.6342363
2019-07-06T05:00:00Z,9.018463
2019-07-10T05:00:00Z,7.55441236
2019-07-14T05:00:00Z,5.71851826
2019-07-18T05:00:00Z,7.597385
2019-07-22T05:00:00Z,11.0860949
2019-07-26T05:00:00Z,6.49188328
